內部代號,印刷編號,說明
佛-01,3-21,
佛-02,3-45,
佛-03,2-31、4-62、4-85,
佛-04,3-22,
佛-05,3-93,
佛-06,3-23,
佛-07,3-42,
佛-08,3-73,
佛-09,3-44、3-64,
佛-10,3-20,
佛-11,3-81,
佛-12,3-40,
佛-13,3-50、4-4,
佛-14,3-65,
佛-15,2-115、3-43,
佛-16,3-51、4-39,
佛-17,3-46,
佛-18,3-9,
佛-19,1-378,
佛-20,3-47,
佛-21,3-67,
佛-22,3-41,
佛-23,3-86,
佛-24,3-78,
佛-25,3-89,
佛-26,3-48,
佛-27,3-69,
佛-28,3-74,
佛-29,3-77,
佛-30,3-24,
佛-31,,
佛-32,3-79,
佛-33,3-19,
佛-34,3-71,
佛-35,3-66,
原-01,4-180,
原-02,4-306,
原-03,4-328,
原-04,4-324,
原-05,4-316,
原-06,4-329,
原-07,4-319,
原-08,4-321,
原-09,4-322,
原-10,4-220,
原-11,1-257,
原-12,4-224,
原-13,,
原-14,4-305,
原-15,4-219,
原-16,4-311,
原-17,4-320,
原-18,4-300,
原-19,3-219、4-310,
原-20,4-330,
原-21,4-304,
原-22,1-308,
原-23,4-327,
原-24,4-226,
原-25,,
原-26,4-225,
原-27,4-307,
原-28,4-228,
原-29,4-223,
原-30,3-138,
原-31,4-302,
原-32,4-326,
原-33,4-301,
原-34,,
原-35,4-313,
原-36,4-314,
原-37,4-308,
原-38,4-318,
原-39,,
名-01,,
名-02,3-15,
名-03,3-7,
名-04,3-5、4-29,
名-05,1-327,
名-06,3-27,
名-07,3-16,
名-08,1-268,
名-09,3-28,
名-10,3-127,
名-11,1-30、3-289,
名-12,2-207,
名-13,1-338,
名-14,3-6,
名-15,3-17,
名-16,3-32,
名-17,,
名-18,3-8,
名-19,1-32,
名-20,3-10,
名-21,3-37,
名-22,3-49,
名-23,3-38,
名-24,3-33,
名-25,,
名-26,3-56,
名-27,3-58,
名-28,1-365,
名-29,3-59,
名-30,3-378,
名-31,3-30,
名-32,3-31,
名-33,1-321,
名-34,,
名-35,1-322,
名-36,3-25,
名-37,3-26,
名-38,1-366,
名-39,1-347,
名-40,1-319,
名-41,1-340,
名-42,3-18,
名-43,3-14,
名-44,2-354、3-12,
名-45,3-13,
名-46,3-35,
名-47,1-316,
名-48,3-52,
名-49,3-29,
名-50,3-54,
名-51,1-317,
名-52,1-336,
名-53,3-36,
名-54,3-2,
名-55,3-4,
名-56,3-11,
名-57,3-39,
名-58,3-61,
名-59,,
園-01,3-117,
園-02,4-3,
園-03,4-5,
園-04,3-387,
園-05,1-324,
園-06,,
園-07,1-326,
園-08,2-31、4-62、4-85,已併入「小菫菜」
園-09,1-328,
園-11,,
園-12,3-235,
園-13,1-323,
園-14,3-132,
園-15,4-36,
園-16,1-286、3-386、4-1,已併入「凹葉柃木」
園-17,,
園-18,3-92,
園-20,1-350,
園-21,1-341,
園-22,4-315,
園-23,3-53,
園-24,1-320,
園-25,4-221,
園-26,1-345,
園-27,4-51,
園-28,4-303,
園-29,1-343,
園-30,1-346,
園-31,1-335,
園-32,3-1,
園-33,1-369,
園-34,3-63,
園-35,1-339,
園-36,4-6,
園-37,1-379,
園-39,4-229,
園-40,,
園-42,1-329,
園-43,4-84,
園-44,4-122,
園-45,4-309,
園-47,1-330,
園-48,3-57,
園-50,1-374,
園-51,,
地-01,4-64,
地-02,,
地-03,2-137、4-61,
地-04,4-80,
地-05,4-57,
地-06,4-24,
地-07,4-44,
地-08,4-81,
地-09,3-97,
地-10,4-87,
地-11,4-11,
地-12,,
地-13,4-41,
地-14,2-31、4-62、4-85,已併入「小菫菜」
地-15,4-14,
地-16,3-34、4-27,
地-17,4-45,
地-18,4-88,
地-19,4-15,
地-20,4-46,
地-21,,
地-22,4-58,
地-23,4-40,
地-24,4-9,
地-25,3-133,
地-26,4-35,
地-27,4-20,
地-28,4-25,
地-29,3-223,
地-30,4-65,
地-31,4-38,
地-32,,已併入「藝妓咖啡」
地-33,4-76、4-119,已併入「路易斯安那鳶尾」
地-34,4-12,
地-35,4-23,
地-36,4-26,
地-37,4-22,
地-38,4-16,
地-39,4-59,
地-40,4-78,
地-41,4-43,
地-42,4-21,
地-43,4-42,
地-44,4-44,已併入「苗栗白花龍」
天-01,3-380,
天-02,3-173、4-271,
天-03,3-382,
天-04,3-370,
天-05,3-365,
天-06,3-367,已併入「雉尾花燭」
天-07,,
天-08,3-366,
天-09,3-385,
天-10,3-377,
天-11,3-115、3-372,
天-12,3-358,
天-13,3-342,
天-14,3-367,
天-15,2-346,
天-16,3-374,
天-17,3-371,
天-18,3-373,
天-19,3-381,
天-20,3-379,
天-21,3-376,
天-22,3-383,
棕-01,4-374,
棕-02,4-369,
棕-03,4-368,
棕-04,4-370,
棕-05,4-273,
棕-06,4-366,
棕-07,4-359,
棕-08,4-206、4-252,
棕-09,3-266、4-275,
棕-10,4-373,
棕-11,4-361,
棕-12,4-358,
棕-13,4-360,
棕-14,4-371,
棕-15,,
棕-16,4-360,已併入「短莖薩巴爾櫚」
棕-17,,
棕-18,,
棕-19,4-274,
棕-20,4-354,
棕-21,,
棕-22,,
棕-23,4-357,
棕-24,4-367,
棕-25,4-332、4-372,已併入「毛土連翹」
棕-26,,
棕-27,4-355,
民-01,4-336,
民-02,4-164,
民-03,4-350,
民-04,4-352,
民-05,4-364,
民-06,4-211,
民-07,4-218,
民-08,,
民-09,2-210、4-208,
民-10,1-297、4-333,
民-11,4-337,
民-12,4-210,
民-13,4-344,
民-14,4-353,
民-15,4-207,
民-16,4-341,
民-17,4-342,
民-18,4-363,
民-19,4-349,
民-20,,
民-21,4-345,
民-22,4-216,
民-24,4-167,
民-25,,
民-26,,
民-27,4-335,
民-28,4-213,
民-29,4-214,
民-30,4-347,
民-31,4-346,
民-32,4-348,
民-33,4-332、4-372,
民-34,4-166,
民-35,4-351,
民-36,4-339,
民-38,4-212,
民-39,,
民-40,4-338,
民-41,4-365,
民-42,,
民-43,,
民-44,,
民-45,4-343,
民-46,,
民-47,4-215,
水-01,4-48,
水-02,4-163,
水-03,4-54,
水-04,4-17,
水-05,4-91,
水-06,4-90,
水-07,2-352,
水-08,4-94、4-117,
水-09,4-47,
水-10,4-95,
水-11,4-92,
水-12,3-310、4-116,
水-13,4-55,
水-14,4-53,
水-15,4-49,已併入「煉莢豆」
水-16,4-118,
水-17,2-353,
水-18,4-52,
水-19,,
水-20,4-49,
水-22,4-89,
水-23,,
水-24,4-115,
水-25,4-52,已併入「長苞香蒲」
水-26,4-56,
水-27,,
澳-01,2-259,
澳-02,2-176,
澳-03,2-282,
澳-04,2-257,
澳-05,2-183,
澳-06,2-182,
澳-07,2-254,
澳-08,2-356,
澳-09,2-261、2-298,
澳-10,2-256,已併入「台灣胡頹子」
澳-11,2-344,
澳-12,4-73,
澳-13,2-321,
澳-14,4-18,
澳-15,2-350,
澳-16,2-276,
澳-17,4-204,
澳-18,3-83,
澳-19,2-267,
澳-20,2-342,
澳-21,2-281,
澳-22,2-348,
澳-23,2-177,
澳-24,2-179,
澳-25,2-181、2-323,已併入「臺灣梭羅樹」
澳-26,2-280,
澳-27,2-278,
澳-28,3-116,
澳-29,2-174,
澳-30,2-180,
澳-31,2-181、2-323,
澳-32,2-274,
澳-33,2-351,
澳-34,2-263,
澳-35,2-258,
澳-36,2-343,
澳-37,2-275,
澳-38,4-77,
澳-39,2-260,
澳-40,2-347,
澳-41,2-341,
澳-42,2-255,
澳-43,2-355,
澳-44,2-273,
澳-45,3-140,
澳-46,2-266,
澳-47,2-262,
澳-48,2-322,
澳-49,2-324,
澳-50,2-273,已併入「巒大雀梅藤」
澳-51,2-345,
澳-52,2-277,
澳-53,2-320,
澳-54,2-279,
澳-55,2-181、2-323,已併入「臺灣梭羅樹」
澳-56,2-256,
澳-57,2-349,
竹-01,4-13、4-195,
竹-02,1-251、4-100,
竹-03,4-114,
竹-04,4-130,
竹-05,4-179,
竹-06,,
竹-07,,
竹-08,3-175、4-105,
竹-10,4-19、4-323,
竹-11,4-99,
竹-13,4-203,
竹-14,4-196,
竹-15,4-168,
竹-16,4-193,
竹-17,4-205,
竹-18,,
竹-19,3-210,
竹-20,3-206、4-186,
竹-21,4-178,
竹-22,4-192,
竹-23,4-172,
竹-24,2-312、3-70,
竹-25,4-101,
竹-26,4-198,
竹-27,3-90,
竹-28,4-171,
竹-29,4-190,
竹-30,4-197,
竹-31,4-110,
竹-32,4-200,
竹-33,4-340,
竹-34,4-176,
竹-35,4-169,
竹-36,4-106,
竹-37,1-302,
竹-38,4-183,
竹-39,4-108,
竹-40,4-177,
竹-41,,
竹-42,4-185,
竹-43,4-177,已併入「臺灣破傘菊」
竹-44,3-167,
竹-45,,
竹-46,4-181,
竹-47,4-170,
竹-48,4-191,
竹-49,4-194,
竹-50,4-103,已併入「委陵菜」
竹-51,4-201,
竹-52,3-301、4-174,
竹-53,4-199,
竹-54,4-175、4-202,已併入「蟛蜞菊」
竹-55,4-182,
竹-56,4-111,
竹-57,,
竹-58,4-107,
竹-59,4-184,
竹-60,4-96,
竹-61,4-112,
竹-63,4-109,
竹-64,4-188,
竹-66,4-97,
竹-67,4-173,
肉-01,2-30,
肉-02,1-46、2-97,
肉-03,2-94,
肉-04,2-91,
肉-05,4-217,
肉-06,2-96,
肉-07,2-157,
肉-08,2-146,
肉-09,2-169,
肉-10,2-104,
肉-100,2-4,
肉-101,2-33,
肉-102,,
肉-103,,
肉-104,2-79,
肉-105,2-59,
肉-106,2-41,
肉-107,2-40,
肉-108,2-82,
肉-109,2-68,
肉-11,2-26,
肉-110,2-60,
肉-111,2-57,
肉-12,2-70、3-251,
肉-13,2-29,
肉-14,2-21,
肉-15,2-170、2-198,
肉-16,2-5、3-284,
肉-17,2-168,
肉-18,2-166,
肉-19,1-349,
肉-20,,
肉-21,2-37,
肉-22,2-83、3-135、3-141,
肉-23,3-137,
肉-24,2-39,
肉-25,2-58,
肉-26,2-95,
肉-27,2-44,
肉-28,2-36,
肉-29,2-71,
肉-30,2-25,
肉-31,2-53,
肉-32,2-92,
肉-33,2-3,
肉-34,2-100,
肉-35,2-34、4-2,已併入「風鈴木」
肉-36,2-75,
肉-37,2-63,
肉-38,2-99,
肉-39,2-103,
肉-40,2-175,
肉-41,2-76,
肉-42,2-98,已併入「大葉穀精草」
肉-43,2-73,
肉-44,2-22,
肉-45,2-28,
肉-46,2-45,
肉-47,2-69,
肉-48,2-42,
肉-49,2-50,
肉-50,2-85,
肉-51,2-102,
肉-52,2-64,
肉-53,2-61,
肉-54,2-27,
肉-55,4-175、4-202,
肉-56,2-1、3-3,
肉-57,2-78,
肉-58,2-2,
肉-59,2-81,
肉-60,2-32,
肉-61,2-98,
肉-62,2-62,
肉-63,2-74,
肉-64,2-88,
肉-65,2-84,
肉-66,2-65,
肉-67,2-77,
肉-68,2-93,
肉-69,2-103,已併入「野慈姑」
肉-70,2-38,
肉-71,2-163,
肉-72,2-72,
肉-73,2-173,
肉-74,2-67,
肉-75,2-86,
肉-76,2-23,
肉-77,2-66,
肉-78,2-105,
肉-79,2-35,
肉-80,2-54,
肉-81,2-46,
肉-82,2-106,
肉-83,2-43,
肉-84,2-89,
肉-85,2-107,
肉-86,2-49,
肉-87,2-56,
肉-88,2-55,
肉-89,,
肉-90,2-165,
肉-91,2-80,
肉-92,2-47,
肉-93,2-87,
肉-94,2-164,
肉-95,2-173,已併入「大鄧伯花」
肉-96,2-48,
肉-97,2-51,
肉-98,2-90,
肉-99,2-52,
肖-01,2-305,
肖-02,2-285,
肖-03,2-319,
肖-04,4-10、4-83,
肖-05,2-307,
肖-06,2-306,
肖-07,2-314,
肖-08,2-332,
肖-09,4-50,
肖-10,2-310,
肖-11,2-317,
肖-12,2-304,
肖-13,2-290,
肖-14,2-309,
肖-15,1-270,
肖-16,2-329,
肖-17,2-291、4-189,
肖-18,2-318,
肖-19,2-333,
肖-20,2-287,
肖-21,2-302,
肖-22,2-284、4-98,
肖-24,2-109,
肖-25,2-286,
肖-26,2-294、2-301,
肖-27,2-330,
肖-28,2-296,
肖-29,2-270,
肖-30,2-313,
肖-31,2-340,
肖-32,2-271,
肖-33,2-294、2-301,已併入「四葉蘿芙木」
肖-34,2-292,
肖-35,3-257,
肖-36,2-337,
肖-37,3-87,
肖-38,2-328,
肖-39,2-272,
肖-40,2-334,
肖-41,2-293,
肖-42,2-297,
肖-43,2-336,
肖-44,2-289,
肖-45,2-283,
肖-46,2-311,
肖-47,,
肖-48,2-288,
肖-49,2-336,已併入「牛奶榕」
肖-50,2-295,
肖-51,2-326,
肖-52,2-325,
肖-53,2-299,
肖-54,2-315,
肖-55,2-338,
肖-56,2-316,
肖-57,2-309,已併入「雞母珠」
肖-58,2-335,
肖-59,2-327,
舟-01,1-169,
舟-02,,
舟-03,1-196,
舟-04,1-360,
舟-05,1-109,
舟-06,3-88,
舟-07,1-216,
舟-08,4-231,
舟-09,1-361,
舟-10,1-232,
舟-100,1-89,
舟-101,1-190,
舟-102,1-191,
舟-103,1-97,
舟-104,1-195,
舟-105,1-113,
舟-106,1-204,
舟-107,1-115,
舟-108,1-118,
舟-109,1-224,
舟-110,1-120,
舟-111,1-225、1-226,
舟-112,1-231,
舟-113,1-236,
舟-114,1-128,
舟-115,1-144,
舟-116,1-48,
舟-117,1-145,
舟-118,1-147,
舟-119,1-57、1-58,
舟-12,1-148,已併入「台灣一葉蘭」
舟-120,1-57、1-58,已併入「墨西哥拖鞋蘭」
舟-121,1-160,
舟-122,1-162,
舟-123,1-163,
舟-124,1-76,
舟-126,1-168,
舟-128,1-172,
舟-129,1-179,
舟-13,1-148,
舟-130,1-84,
舟-131,1-96,
舟-132,1-98,
舟-133,1-107,
舟-134,1-220,
舟-135,1-222,
舟-137,1-121,
舟-138,1-228,已併入「銀葉魔芋」
舟-139,1-228,
舟-14,1-152,
舟-140,1-133,
