原名稱,處理方式,併入,原因
美麗山芙蓉,合併,印度山芙蓉,同名異稱
美麗芙蓉,合併,印度山芙蓉,同名異稱
日本貞楠,合併,日本楨楠,錯字
紅刺蔥,合併,食茱萸,同名異稱
螫蟹百合,合併,蜘蛛百合,同名異稱
南洋竹,不收錄,,竹子不收錄
漢彌爾敦麻竹,不收錄,,竹子不收錄
美濃麻竹,不收錄,,竹子不收錄
菊科,不收錄,,只到科名
車前草,地圖不收錄,,園區到處都有；網站保留
兩耳草,地圖不收錄,,園區到處都有；網站保留
吉野櫻,地圖不收錄,,植物園已改名，名稱待確認
赫蕉熱帶,合併,熱帶赫蕉,名稱修正
酢漿草,地圖不收錄,,常見野草
鐵莧菜,地圖不收錄,,常見野草
龍葵,地圖不收錄,,常見野草
地耳草,地圖不收錄,,常見野草
苦苣菜,地圖不收錄,,常見野草
昭和草,地圖不收錄,,常見野草
霧水葛,地圖不收錄,,常見野草
善變蜻蜓,不收錄,,不是植物
小孢盤菌,不收錄,,真菌
龍紋黑蛋巢菌,不收錄,,真菌
鳳梨科,不收錄,,只到科名
蕨類,不收錄,,只到類群
鐵刀木,地圖不放,,此點刪除，其他位置待確認
垂枝女貞,地圖不放,,待確認
藝妓咖啡,地圖不放,,待確認
中原氏鬼督郵,地圖不放,,待確認
阿里山鬼督郵,地圖不放,,待確認
台灣油杉ㄤ荷花池邊,合併,台灣油杉,錯字
水芙蓉,合併,大萍,同名異稱
今天見到魯花樹開了,合併,魯花樹,圖說文字誤當花名
紅紋鳳蝶,不收錄,,不是植物
瘦臍菇,不收錄,,真菌
飄拂草屬,不收錄,,只到屬名
鈴木油點草,合併,鈴木氏油點草,名稱修正
紫金牛花落在鵝掌柴上,合併,紫金牛,圖說文字誤當花名
待查,不收錄,,無花名
鳳梨科皮氏鳳梨屬,不收錄,,只到屬名
斑葉蘭屬,不收錄,,只到屬名
Pinalia蘋蘭屬,不收錄,,只到屬名
野牡丹科,不收錄,,只到科名
某種水竹葉,不收錄,,未鑑定
某種山菊,不收錄,,未鑑定
台灣梭羅樹,合併,臺灣梭羅樹,名稱統一
台灣梭羅木,合併,台灣梭羅樹,名稱統一
台灣破傘菊,合併,臺灣破傘菊,名稱統一
小堇菜,合併,小菫菜,名稱統一
小蓳菜,合併,小菫菜,名稱統一
帝皇烏蘭,合併,帝皇烏藍,名稱統一
日本莢迷,合併,日本莢蒾,名稱統一
棱軸土人蔘,合併,稜軸土人參,名稱統一
茄冬,合併,茄苳,名稱統一
茶匙黃,合併,茶匙癀,名稱統一
葛瑪蘭巴蕉,合併,葛瑪蘭芭蕉,名稱統一
裏白巴豆,合併,裡白巴豆,名稱統一
凹葉鈴木,合併,凹葉柃木,名稱統一
刺葉黃縟花,合併,刺葉黃褥花,名稱統一
台灣湖頹子,合併,台灣胡頹子,名稱統一
四葉羅芙木,合併,四葉蘿芙木,名稱統一
塔彭貝克閉鞘薑,合併,塔蓬貝克閉鞘薑,名稱統一
墨西哥鞋蘭,合併,墨西哥拖鞋蘭,名稱統一
大腳筒,合併,大腳筒蘭,名稱統一
大葉榖精草,合併,大葉穀精草,名稱統一
大鄧伯,合併,大鄧伯花,名稱統一
萎陵菜,合併,委陵菜,名稱統一
子彈石礫,合併,子彈石櫟,名稱統一
小葉黃膳藤,合併,小葉黃鱔藤,名稱統一
巒大雀鑾藤,合併,巒大雀梅藤,名稱統一
布烈氏黃芩,合併,布列氏黃芩,名稱統一
批針葉饅頭果,合併,披針葉饅頭果,名稱統一
毛土蓮翹,合併,毛土連翹,名稱統一
澎蜞菊,合併,蟛蜞菊,名稱統一
鍊莢豆,合併,煉莢豆,名稱統一
燈豎杇,合併,燈豎朽,名稱統一
牛乳榕,合併,牛奶榕,名稱統一
短京薩巴爾櫚,合併,短莖薩巴爾櫚,名稱統一
稚尾花燭,合併,雉尾花燭,名稱統一
紅果金素蘭,合併,紅果金粟蘭,名稱統一
船仔草,合併,船子草,名稱統一
苗栗白花籠,合併,苗栗白花龍,名稱統一
葉氏坡油柑,合併,葉氏坡油甘,名稱統一
藝伎咖啡,合併,藝妓咖啡,名稱統一
蟠龍石斛,合併,蟠龍石斛蘭,名稱統一
路易士安那鳶尾,合併,路易斯安那鳶尾,名稱統一
野慈菇,合併,野慈姑,名稱統一
銀葉摩芋,合併,銀葉魔芋,名稱統一
雞母株,合併,雞母珠,名稱統一
龍骨瓣杏菜,合併,龍骨瓣莕菜,名稱統一
福木（雄）,合併,福木,名稱統一
福木（雌）,合併,福木,名稱統一
兔仔菜,合併,兔兒菜,名稱統一
可可,合併,可可樹,名稱統一
鵝鑾鼻榕,合併,鵝鑾鼻蔓榕,名稱統一
長苞菖蒲,合併,長苞香蒲,名稱統一
琉球薔薇,合併,琉球野薔薇,名稱統一
一葉蘭,合併,台灣一葉蘭,名稱統一
秋海棠科,合併,秋海棠,名稱統一
紅風鈴木,合併,風鈴木,原本寫錯
孔雀豆,合併,小實孔雀豆,同名異稱
木瓜,合併,番木瓜,同名異稱
木瓜花,合併,番木瓜,同名異稱
西洋蓍草,合併,洋蓍草,同名異稱
花柏,合併,日本花柏,名稱簡寫
烏來閉口蘭？,合併,烏來閉口蘭,圖說有問號
短穗毛舌蘭？,合併,短穗毛舌蘭,圖說有問號
長葉竹節蘭？,合併,長葉竹節蘭,圖說有問號
琴葉毬蘭？,合併,琴葉毬蘭,圖說有問號
清水山Ｘ巴陵,合併,清水山Ｘ巴陵石竹,名稱截斷
